CodigoEstacion,NombreEstacion,Variable,Parametro,Fecha,Unidad,Valor,NivelAprobacion
24015120,ISLA DEL SANTUARIO [24015120],TEMPERATURA,Temperatura del aire media mensual,2010-01-01 00:00,degC,14.8993688639551,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],TEMPERATURA,Temperatura del aire media mensual,2010-02-01 00:00,degC,15.8673344017094,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],TEMPERATURA,Temperatura del aire media mensual,2010-03-01 00:00,degC,15.6665046296296,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],TEMPERATURA,Temperatura del aire media mensual,2010-04-01 00:00,degC,15.5549305555555,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],TEMPERATURA,Temperatura del aire media mensual,2010-05-01 00:00,degC,15.3122916666667,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],TEMPERATURA,Temperatura del aire media mensual,2010-06-01 00:00,degC,14.809841954023,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],TEMPERATURA,Temperatura del aire media mensual,2010-07-01 00:00,degC,14.2748563218391,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],TEMPERATURA,Temperatura del aire media mensual,2010-08-01 00:00,degC,14.5415094339623,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],TEMPERATURA,Temperatura del aire media mensual,2010-09-01 00:00,degC,14.1768583450211,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],TEMPERATURA,Temperatura del aire media mensual,2010-10-01 00:00,degC,14.1372688477952,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],TEMPERATURA,Temperatura del aire media mensual,2010-11-01 00:00,degC,14.0499274310594,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],TEMPERATURA,Temperatura del aire media mensual,2010-12-01 00:00,degC,13.8892361111111,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],TEMPERATURA,Temperatura del aire media mensual,2011-01-01 00:00,degC,14.2620138888888,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],TEMPERATURA,Temperatura del aire media mensual,2011-02-01 00:00,degC,14.0658854166667,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],TEMPERATURA,Temperatura del aire media mensual,2011-03-01 00:00,degC,13.9561111111111,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],TEMPERATURA,Temperatura del aire media mensual,2011-04-01 00:00,degC,14.2753720238095,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],TEMPERATURA,Temperatura del aire media mensual,2011-05-01 00:00,degC,14.9561111111111,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],TEMPERATURA,Temperatura del aire media mensual,2011-06-01 00:00,degC,14.976,Preliminar
24015120,ISLA DEL SANTUARIO [24015120],TEMPERATURA,Temperatura del aire media mensual,2011-07-01 00:00,degC,14.218125,Preliminar
